Intel MKL WARNING: Support of Intel(R) Streaming SIMD Extensions 4.2 (Intel(R) SSE4.2) enabled only processors has been deprecated. Intel oneAPI Math Kernel Library 2025.0 will require Intel(R) Advanced Vector Extensions (Intel(R) AVX) instructions.
Intel MKL WARNING: Support of Intel(R) Streaming SIMD Extensions 4.2 (Intel(R) SSE4.2) enabled only processors has been deprecated. Intel oneAPI Math Kernel Library 2025.0 will require Intel(R) Advanced Vector Extensions (Intel(R) AVX) instructions.
Being solved by ECOS...

ECOS 2.0.10 - (C) embotech GmbH, Zurich Switzerland, 2012-15. Web: www.embotech.com/ECOS

It     pcost       dcost      gap   pres   dres    k/t    mu     step   sigma     IR    |   BT
20  +3.901e+03  +3.890e+03  +8e+03  7e-06  3e-05  1e-03  2e-02  0.1697  9e-01   1  1  1 |  0  0
21  +3.923e+03  +3.915e+03  +6e+03  5e-06  2e-05  1e-03  1e-02  0.3485  2e-01   1  1  1 |  0  0
22  +3.922e+03  +3.915e+03  +6e+03  5e-06  2e-05  1e-03  1e-02  0.0102  1e+00   1  1  1 |  0  0
23  +3.936e+03  +3.930e+03  +4e+03  4e-06  1e-05  7e-04  9e-03  0.5467  5e-01   1  1  1 |  0  0
24  +3.936e+03  +3.930e+03  +4e+03  4e-06  1e-05  7e-04  9e-03  0.0205  9e-01   1  1  1 |  0  0
25  +3.937e+03  +3.932e+03  +4e+03  4e-06  1e-05  6e-04  9e-03  0.3067  8e-01   1  1  1 |  0  0
26  +3.943e+03  +3.938e+03  +3e+03  3e-06  1e-05  5e-04  8e-03  0.2398  4e-01   1  1  1 |  0  0
27  +3.952e+03  +3.948e+03  +3e+03  2e-06  9e-06  4e-04  6e-03  0.5010  5e-01   1  1  1 |  0  0
28  +3.951e+03  +3.948e+03  +3e+03  2e-06  9e-06  4e-04  6e-03  0.0049  1e+00   1  1  1 |  0  0
29  +3.952e+03  +3.949e+03  +2e+03  2e-06  8e-06  4e-04  5e-03  0.1641  7e-01   1  1  1 |  0  0
30  +3.955e+03  +3.952e+03  +2e+03  2e-06  7e-06  3e-04  5e-03  0.2639  5e-01   1  1  1 |  0  0
31  +3.957e+03  +3.955e+03  +2e+03  2e-06  7e-06  3e-04  4e-03  0.2337  5e-01   1  1  1 |  0  0
32  +3.958e+03  +3.956e+03  +2e+03  2e-06  6e-06  3e-04  4e-03  0.2978  7e-01   1  1  1 |  0  0
33  +3.963e+03  +3.961e+03  +1e+03  1e-06  5e-06  2e-04  3e-03  0.4336  4e-01   1  1  1 |  0  0
34  +3.965e+03  +3.964e+03  +1e+03  1e-06  4e-06  2e-04  2e-03  0.2883  5e-01   1  1  1 |  0  0
35  +3.966e+03  +3.965e+03  +1e+03  9e-07  4e-06  2e-04  2e-03  0.1903  6e-01   1  1  1 |  0  0
36  +3.969e+03  +3.968e+03  +7e+02  7e-07  3e-06  1e-04  2e-03  0.4392  4e-01   1  1  1 |  0  0
37  +3.969e+03  +3.968e+03  +7e+02  7e-07  3e-06  1e-04  2e-03  0.0975  9e-01   1  1  1 |  0  0
38  +3.973e+03  +3.972e+03  +5e+02  4e-07  2e-06  7e-05  1e-03  0.5962  4e-01   1  1  1 |  0  0
39  +3.973e+03  +3.972e+03  +5e+02  4e-07  2e-06  7e-05  1e-03  0.0209  9e-01   1  1  1 |  0  0
40  +3.974e+03  +3.973e+03  +4e+02  4e-07  2e-06  7e-05  1e-03  0.226Solution status: Optimal solution found
Running time: 295.1332s
Processing time: 296.7806 seconds
1  5e-01   1  1  1 |  0  0
41  +3.978e+03  +3.978e+03  +2e+02  1e-07  6e-07  2e-05  4e-04  0.7265  1e-01   2  1  1 |  0  0
42  +3.980e+03  +3.980e+03  +7e+01  7e-08  3e-07  1e-05  2e-04  0.6852  2e-01   2  1  1 |  0  0
43  +3.980e+03  +3.980e+03  +4e+01  4e-08  2e-07  7e-06  1e-04  0.5133  3e-01   2  1  1 |  0  0
44  +3.980e+03  +3.980e+03  +4e+01  4e-08  2e-07  7e-06  1e-04  0.0011  1e+00   2  1  1 |  0  0
45  +3.980e+03  +3.980e+03  +4e+01  4e-08  2e-07  7e-06  1e-04  0.0114  9e-01   2  1  1 |  0  0
46  +3.980e+03  +3.980e+03  +4e+01  4e-08  2e-07  7e-06  1e-04  0.0556  7e-01   2  1  1 |  0  0
47  +3.980e+03  +3.980e+03  +4e+01  4e-08  2e-07  7e-06  1e-04  0.0018  1e+00   2  1  2 |  0  0
48  +3.980e+03  +3.980e+03  +4e+01  4e-08  2e-07  7e-06  1e-04  0.0531  9e-01   2  1  1 |  0  0
49  +3.980e+03  +3.980e+03  +4e+01  4e-08  2e-07  6e-06  9e-05  0.0792  7e-01   2  1  1 |  0  0
50  +3.980e+03  +3.980e+03  +4e+01  4e-08  1e-07  6e-06  9e-05  0.3779  9e-01   2  1  1 |  0  0
51  +3.981e+03  +3.981e+03  +2e+01  2e-08  7e-08  3e-06  4e-05  0.5717  1e-01   2  1  1 |  0  0
52  +3.981e+03  +3.981e+03  +9e+00  1e-08  3e-08  1e-06  2e-05  0.7171  2e-01   2  1  1 |  0  0
53  +3.981e+03  +3.981e+03  +1e+00  3e-09  5e-09  2e-07  3e-06  0.9360  1e-01   2  1  1 |  0  0
54  +3.981e+03  +3.981e+03  +2e-01  1e-09  8e-10  4e-08  5e-07  0.9200  8e-02   3  2  2 |  0  0
55  +3.981e+03  +3.981e+03  +5e-02  4e-10  2e-10  8e-09  1e-07  0.8080  6e-02   5  2  2 |  0  0
56  +3.981e+03  +3.981e+03  +3e-03  5e-11  1e-11  4e-10  6e-09  0.9818  3e-02   7  2  2 |  0  0
57  +3.981e+03  +3.981e+03  +4e-05  2e-12  1e-13  6e-12  9e-11  0.9867  1e-04   3  2  2 |  0  0

OPTIMAL (within feastol=2.4e-12, reltol=9.6e-09, abstol=3.8e-05).
Runtime: 295.133218 seconds.

