Intel MKL WARNING: Support of Intel(R) Streaming SIMD Extensions 4.2 (Intel(R) SSE4.2) enabled only processors has been deprecated. Intel oneAPI Math Kernel Library 2025.0 will require Intel(R) Advanced Vector Extensions (Intel(R) AVX) instructions.
Intel MKL WARNING: Support of Intel(R) Streaming SIMD Extensions 4.2 (Intel(R) SSE4.2) enabled only processors has been deprecated. Intel oneAPI Math Kernel Library 2025.0 will require Intel(R) Advanced Vector Extensions (Intel(R) AVX) instructions.
Being solved by ECOS...

ECOS 2.0.10 - (C) embotech GmbH, Zurich Switzerland, 2012-15. Web: www.embotech.com/ECOS

It     pcost       dcost      gap   pres   dres    k/t    mu     step   sigma     IR    |   BT
16  +3.610e+03  +3.601e+03  +5e+03  5e-06  3e-05  1e-03  2e-02  0.5576  4e-01   1  1  1 |  0  0
17  +3.610e+03  +3.601e+03  +5e+03  5e-06  3e-05  1e-03  2e-02  0.0450  9e-01   1  1  1 |  0  0
18  +3.622e+03  +3.616e+03  +4e+03  4e-06  2e-05  9e-04  1e-02  0.5028  4e-01   1  1  1 |  0  0
19  +3.623e+03  +3.617e+03  +3e+03  4e-06  2e-05  8e-04  1e-02  0.2967  8e-01   1  1  1 |  0  0
20  +3.631e+03  +3.627e+03  +2e+03  3e-06  1e-05  6e-04  1e-02  0.3828  4e-01   1  1  1 |  0  0
21  +3.631e+03  +3.627e+03  +2e+03  3e-06  1e-05  6e-04  1e-02  0.0055  1e+00   1  1  1 |  0  0
22  +3.632e+03  +3.628e+03  +2e+03  2e-06  1e-05  5e-04  9e-03  0.2797  6e-01   1  1  1 |  0  0
23  +3.634e+03  +3.630e+03  +2e+03  2e-06  1e-05  5e-04  8e-03  0.1738  5e-01   1  1  1 |  0  0
24  +3.636e+03  +3.633e+03  +2e+03  2e-06  9e-06  4e-04  7e-03  0.3831  6e-01   1  1  1 |  0  0
25  +3.641e+03  +3.638e+03  +1e+03  1e-06  7e-06  3e-04  5e-03  0.3417  3e-01   1  1  1 |  0  0
26  +3.641e+03  +3.638e+03  +1e+03  1e-06  7e-06  3e-04  5e-03  0.0120  1e+00   1  1  1 |  0  0
27  +3.641e+03  +3.639e+03  +1e+03  1e-06  6e-06  3e-04  5e-03  0.1727  6e-01   1  1  1 |  0  0
28  +3.641e+03  +3.639e+03  +1e+03  1e-06  6e-06  3e-04  5e-03  0.0660  8e-01   1  1  1 |  0  0
29  +3.643e+03  +3.641e+03  +1e+03  1e-06  5e-06  2e-04  4e-03  0.2968  6e-01   1  1  1 |  0  0
30  +3.643e+03  +3.641e+03  +1e+03  1e-06  5e-06  2e-04  4e-03  0.2680  9e-01   1  1  1 |  0  0
31  +3.645e+03  +3.644e+03  +8e+02  9e-07  4e-06  2e-04  3e-03  0.2971  3e-01   1  1  1 |  0  0
32  +3.645e+03  +3.644e+03  +8e+02  9e-07  4e-06  2e-04  3e-03  0.0166  1e+00   1  1  1 |  0  0
33  +3.645e+03  +3.644e+03  +8e+02  9e-07  4e-06  2e-04  3e-03  0.0085  9e-01   1  1  1 |  0  0
34  +3.646e+03  +3.644e+03  +8e+02  8e-07  4e-06  2e-04  3e-03  0.1081  7e-01   1  1  1 |  0  0
35  +3.649e+03  +3.648e+03  +5e+02  6e-07  3e-06  1e-04  2e-03  0.3791  2e-01   1  1  1 |  0  0
36  +3.649e+03  +3.648e+03  +5e+02  6e-07  3e-06  1e-04  2e-03  0.0489  6e-01   1  1  1 |  0  0
37  +3.649e+03  +3.648e+03  +5e+02  5e-07  3e-06  1e-04  2e-03  0.2961  8e-01   1  1  1 |  0  0
38  +3.652e+03  +3.652e+03  +2e+02  3e-07  1e-06  6e-05  9e-04  0.5987  2e-01   1  1  1 |  0  0
39  +3.653e+03  +3.652e+03  +2e+02  2e-07  1e-06  5e-05  8e-04  0.2895  6e-01   1  1  1 |  0  0
40  +3.653e+03  +3.653e+03  +2e+02  2e-07  9e-07  4e-05  6e-04  0.369Solution status: Optimal solution found
Running time: 112.4491s
Processing time: 113.4849 seconds
8  4e-01   1  1  1 |  0  0
41  +3.654e+03  +3.654e+03  +1e+02  2e-07  7e-07  3e-05  5e-04  0.2834  5e-01   1  1  1 |  0  0
42  +3.654e+03  +3.654e+03  +1e+02  1e-07  7e-07  3e-05  5e-04  0.3662  8e-01   1  1  1 |  0  0
43  +3.654e+03  +3.654e+03  +1e+02  1e-07  6e-07  3e-05  4e-04  0.2330  5e-01   2  1  1 |  0  0
44  +3.654e+03  +3.654e+03  +1e+02  1e-07  6e-07  3e-05  4e-04  0.1418  7e-01   2  1  1 |  0  0
45  +3.654e+03  +3.654e+03  +1e+02  1e-07  5e-07  2e-05  4e-04  0.2299  5e-01   2  1  1 |  0  0
46  +3.655e+03  +3.655e+03  +8e+01  9e-08  4e-07  2e-05  3e-04  0.2366  4e-01   2  1  1 |  0  0
47  +3.655e+03  +3.655e+03  +8e+01  9e-08  4e-07  2e-05  3e-04  0.0417  9e-01   2  1  1 |  0  0
48  +3.655e+03  +3.655e+03  +7e+01  7e-08  3e-07  2e-05  3e-04  0.2508  2e-01   2  1  1 |  0  0
49  +3.655e+03  +3.655e+03  +7e+01  7e-08  3e-07  2e-05  3e-04  0.0493  9e-01   2  1  1 |  0  0
50  +3.655e+03  +3.655e+03  +6e+01  7e-08  3e-07  1e-05  2e-04  0.3105  9e-01   2  1  1 |  0  0
51  +3.655e+03  +3.655e+03  +5e+01  6e-08  3e-07  1e-05  2e-04  0.2770  5e-01   2  1  1 |  0  0
52  +3.655e+03  +3.655e+03  +5e+01  6e-08  3e-07  1e-05  2e-04  0.0412  7e-01   2  1  1 |  0  0
53  +3.655e+03  +3.655e+03  +5e+01  6e-08  3e-07  1e-05  2e-04  0.0774  1e+00   2  1  1 |  0  0
54  +3.655e+03  +3.655e+03  +5e+01  6e-08  3e-07  1e-05  2e-04  0.0221  1e+00   2  1  1 |  0  0
55  +3.655e+03  +3.655e+03  +5e+01  6e-08  3e-07  1e-05  2e-04  0.1103  5e-01   2  1  1 |  0  0
56  +3.655e+03  +3.655e+03  +5e+01  6e-08  3e-07  1e-05  2e-04  0.0102  1e+00   2  1  1 |  0  0
57  +3.655e+03  +3.655e+03  +3e+01  3e-08  2e-07  7e-06  1e-04  0.5194  2e-01   2  1  1 |  0  0
58  +3.656e+03  +3.656e+03  +3e+01  3e-08  1e-07  6e-06  1e-04  0.4315  6e-01   2  1  1 |  0  0
59  +3.656e+03  +3.656e+03  +3e+01  3e-08  1e-07  6e-06  1e-04  0.0628  9e-01   2  1  1 |  0  0
60  +3.656e+03  +3.656e+03  +6e+00  7e-09  3e-08  1e-06  2e-05  0.9030  2e-01   2  1  1 |  0  0
61  +3.656e+03  +3.656e+03  +1e+00  2e-09  5e-09  2e-07  4e-06  0.8677  3e-02   2  1  1 |  0  0
62  +3.656e+03  +3.656e+03  +1e-01  3e-10  7e-10  3e-08  5e-07  0.9494  1e-01   3  1  1 |  0  0
63  +3.656e+03  +3.656e+03  +2e-03  3e-11  1e-11  4e-10  7e-09  0.9869  1e-04   4  2  2 |  0  0
64  +3.656e+03  +3.656e+03  +2e-05  6e-13  1e-13  5e-12  8e-11  0.9890  1e-04   9  1  1 |  0  0

OPTIMAL (within feastol=5.6e-13, reltol=5.6e-09, abstol=2.1e-05).
Runtime: 112.449081 seconds.

